119270: {'number_of_nodes': 51821, 'number_of_edges': 58358}
119271: {'number_of_nodes': 1942, 'number_of_edges': 2320}
119272: {'number_of_nodes': 1942, 'number_of_edges': 2320}
119273: {'number_of_nodes': 559, 'number_of_edges': 658}
119274: {'number_of_nodes': 225, 'number_of_edges': 234}
119275: {'number_of_nodes': 651, 'number_of_edges': 679}
119276: {'number_of_nodes': 1129, 'number_of_edges': 1180}
119277: {'number_of_nodes': 1249, 'number_of_edges': 1306}
119278: {'number_of_nodes': 597, 'number_of_edges': 627}
119279: {'number_of_nodes': 477, 'number_of_edges': 501}
119280: {'number_of_nodes': 185, 'number_of_edges': 192}
119281: {'number_of_nodes': 287, 'number_of_edges': 300}
119282: {'number_of_nodes': 225, 'number_of_edges': 234}
119283: {'number_of_nodes': 13504, 'number_of_edges': 15649}
119284: {'number_of_nodes': 2621, 'number_of_edges': 3005}
119285: {'number_of_nodes': 6273, 'number_of_edges': 7340}
119286: {'number_of_nodes': 225, 'number_of_edges': 234}
119288: {'number_of_nodes': 3733, 'number_of_edges': 4389}
119290: {'number_of_nodes': 654, 'number_of_edges': 752}
119291: {'number_of_nodes': 3452, 'number_of_edges': 4116}
119292: {'number_of_nodes': 924, 'number_of_edges': 1104}
119293: {'number_of_nodes': 1090, 'number_of_edges': 1300}
119294: {'number_of_nodes': 1282, 'number_of_edges': 1520}
119295: {'number_of_nodes': 6717, 'number_of_edges': 8035}
119296: {'number_of_nodes': 3837, 'number_of_edges': 4505}
119298: {'number_of_nodes': 2330, 'number_of_edges': 2652}
119303: {'number_of_nodes': 1487, 'number_of_edges': 1712}
119304: {'number_of_nodes': 681, 'number_of_edges': 717}
119305: {'number_of_nodes': 1489, 'number_of_edges': 1535}
119306: {'number_of_nodes': 19804, 'number_of_edges': 23181}
119307: {'number_of_nodes': 20517, 'number_of_edges': 24802}
119308: {'number_of_nodes': 341, 'number_of_edges': 360}
119309: {'number_of_nodes': 552, 'number_of_edges': 580}
119310: {'number_of_nodes': 3155, 'number_of_edges': 3689}
119311: {'number_of_nodes': 207, 'number_of_edges': 236}
119312: {'number_of_nodes': 1874, 'number_of_edges': 2155}
119313: {'number_of_nodes': 207, 'number_of_edges': 236}
119338: {'number_of_nodes': 1145, 'number_of_edges': 1362}
119339: {'number_of_nodes': 1011, 'number_of_edges': 1162}
119340: {'number_of_nodes': 4605, 'number_of_edges': 5522}
